Date,DAP,TSP,Urea
2010-01-01,383.0,296.25,266.5
2010-02-01,413.625,300.0,297.5
2010-03-01,424.5,354.375,278.7
2010-04-01,417.5,372.5,253.75
2010-05-01,410.0,352.75,234.0
2010-06-01,392.5,346.8,226.25
2010-07-01,418.125,360.0,259.375
2010-08-01,459.9,380.75,263.5
2010-09-01,506.0,428.0,308.75
2010-10-01,557.25,455.0,332.5
2010-11-01,554.1,463.75,365.4
2010-12-01,540.625,472.5,380.625
2011-01-01,547.4,475.0,378.5
2011-02-01,413.625,490.0,297.5
2011-03-01,424.5,494.0,278.7
2011-04-01,417.5,535.625,253.75
2011-05-01,410.0,547.5,234.0
2011-06-01,575.875,549.5,478.75
2011-07-01,597.625,555.0,483.75
2011-08-01,597.4,560.0,475.5
2011-09-01,587.875,560.0,508.75
2011-10-01,571.4,592.5,493.5
2011-11-01,563.5,570.0,481.25
2011-12-01,488.75,530.0,423.125
2012-01-01,451.4,435.0,368.0
2012-02-01,435.5,445.0,375.0
2012-03-01,442.875,441.25,393.125
2012-04-01,478.0,441.25,494.375
2012-05-01,490.5,485.0,513.125
2012-06-01,501.625,485.0,456.875
2012-07-01,436.875,485.0,307.5
2012-08-01,504.5,485.0,382.5
2012-09-01,527.375,485.0,384.375
2012-10-01,533.5,474.0,349.0
2012-11-01,487.875,447.5,383.5
2012-12-01,472.83333333333,435.0,375.83333333333
2013-01-01,462.25,428.0,380.0
2013-02-01,464.5,419.0,415.625
2013-03-01,467.625,415.0,395.625
2013-04-01,461.125,409.0,365.625
2013-05-01,421.25,410.0,358.125
2013-06-01,424.125,410.0,329.375
2013-07-01,409.625,410.0,312.5
2013-08-01,400.375,360.0,310.625
2013-09-01,374.8,344.0,301.0
2013-10-01,370.0,324.0,296.875
2013-11-01,334.375,320.0,305.0
2013-12-01,341.625,320.0,305.0
2014-01-01,403.375,333.0,330.0
2014-02-01,450.125,367.0,353.125
2014-03-01,486.5,384.0,327.5
2014-04-01,409.0,383.0,260.0
2014-05-01,413.5625,385.0,265.0
2014-06-01,421.375,389.0,288.75
2014-07-01,440.625,390.0,305.0
2014-08-01,446.5,391.0,311.25
2014-09-01,438.1,398.0,317.5
2014-10-01,418.75,398.0,317.5
2014-11-01,408.75,385.0,317.5
2014-12-01,418.375,381.0,308.125
2015-01-01,440.25,381.5,305.0
2015-02-01,444.125,382.5,305.0
2015-03-01,428.8,383.0,295.5
2015-04-01,409.0,380.0,260.0
2015-05-01,413.5625,380.0,265.0
2015-06-01,421.375,380.0,288.75
2015-07-01,431.5,380.0,283.75
2015-08-01,434.625,378.8,274.625
2015-09-01,428.0,379.0,279.375
2015-10-01,423.75,380.0,250.625
2015-11-01,383.875,366.4,263.625
2015-12-01,340.625,360.0,264.0
2016-01-01,327.125,334.0,233.875
2016-02-01,326.0,286.25,191.875
2016-03-01,338.125,291.25,201.75
2016-04-01,330.5,295.0,196.25
2016-05-01,313.5,295.0,198.375
2016-06-01,306.625,285.0,142.625
2016-07-01,305.2,281.0,181.0
2016-08-01,318.0625,281.25,186.25
2016-09-01,320.0,287.0,187.3
2016-10-01,310.0,285.0,187.5
2016-11-01,298.0,285.0,205.0
2016-12-01,296.625,277.5,217.75
2017-01-01,308.0,270.0,233.75
2017-02-01,326.0,278.75,191.875
2017-03-01,325.625,288.0,223.5
2017-04-01,313.125,285.0,207.875
2017-05-01,309.25,275.0,178.75
2017-06-01,310.3,275.0,191.0
2017-07-01,313.75,275.75,181.0
2017-08-01,320.75,280.5,192.625
2017-09-01,325.9,283.2,219.0
2017-10-01,322.375,283.5,252.5
2017-11-01,344.0,295.0,280.0
2017-12-01,357.25,308.75,214.625
2018-01-01,360.375,320.0,219.625
2018-02-01,370.0,320.0,232.5
2018-03-01,378.0,324.0,232.5
2018-04-01,384.75,325.0,230.625
2018-05-01,384.375,326.0,221.875
2018-06-01,391.6,335.2,224.0
2018-07-01,400.75,344.25,252.5
2018-08-01,409.0,357.6,260.0
2018-09-01,421.63,376.25,267.5
2018-10-01,420.75,385.0,270.0
2018-11-01,410.2,379.2,305.6
2018-12-01,389.67,368.33,276.67
2019-01-01,382.13,355.0,260.0
2019-02-01,357.38,343.75,250.63
2019-03-01,335.03,321.0,247.5
2019-04-01,323.75,310.0,247.5
2019-05-01,313.4,305.0,247.5
2019-06-01,314.88,293.75,247.5
2019-07-01,307.5,283.75,263.5
2019-08-01,292.9,275.0,262.5
2019-09-01,285.75,270.0,237.75
2019-10-01,277.38,270.0,237.0
2019-11-01,248.0,264.0,224.5
2019-12-01,238.16,243.33,217.5
2020-01-01,264.9,239.0,215.4
2020-02-01,279.38,245.0,214.38
2020-03-01,276.22,245.0,231.13
2020-04-01,282.0,245.0,235.0
2020-05-01,263.0,243.0,201.9
2020-06-01,273.0,240.0,202.0
2020-07-01,305.1,262.2,214.4
2020-08-01,341.88,276.25,249.5
