Date,Marketing_Year,Class,Month,US_Planted_Acreage_M_Acres,US_Harvested_Acreage_M_Acres,US_Production_M_Bu,US_Yield_Bu_Acre,US_Farm_Price_USD_Bu
2009-06-01,2009/10,All wheat,Jun,59.017,49.841,2208.918,44.3193,4.87
2009-07-01,2009/10,All wheat,Jul,59.017,49.841,2208.918,44.3193,4.87
2009-08-01,2009/10,All wheat,Aug,59.017,49.841,2208.918,44.3193,4.87
2009-09-01,2009/10,All wheat,Sep,59.017,49.841,2208.918,44.3193,4.87
2009-10-01,2009/10,All wheat,Oct,59.017,49.841,2208.918,44.3193,4.87
2009-11-01,2009/10,All wheat,Nov,59.017,49.841,2208.918,44.3193,4.87
2009-12-01,2009/10,All wheat,Dec,59.017,49.841,2208.918,44.3193,4.87
2010-01-01,2009/10,All wheat,Jan,59.017,49.841,2208.918,44.3193,4.87
2010-02-01,2009/10,All wheat,Feb,59.017,49.841,2208.918,44.3193,4.87
2010-03-01,2009/10,All wheat,Mar,59.017,49.841,2208.918,44.3193,4.87
2010-04-01,2009/10,All wheat,Apr,59.017,49.841,2208.918,44.3193,4.87
2010-05-01,2009/10,All wheat,May,59.017,49.841,2208.918,44.3193,4.87
2010-06-01,2010/11,All wheat,Jun,52.62,46.883,2163.023,46.1366,5.7
2010-07-01,2010/11,All wheat,Jul,52.62,46.883,2163.023,46.1366,5.7
2010-08-01,2010/11,All wheat,Aug,52.62,46.883,2163.023,46.1366,5.7
2010-09-01,2010/11,All wheat,Sep,52.62,46.883,2163.023,46.1366,5.7
2010-10-01,2010/11,All wheat,Oct,52.62,46.883,2163.023,46.1366,5.7
2010-11-01,2010/11,All wheat,Nov,52.62,46.883,2163.023,46.1366,5.7
2010-12-01,2010/11,All wheat,Dec,52.62,46.883,2163.023,46.1366,5.7
2011-01-01,2010/11,All wheat,Jan,52.62,46.883,2163.023,46.1366,5.7
2011-02-01,2010/11,All wheat,Feb,52.62,46.883,2163.023,46.1366,5.7
2011-03-01,2010/11,All wheat,Mar,52.62,46.883,2163.023,46.1366,5.7
2011-04-01,2010/11,All wheat,Apr,52.62,46.883,2163.023,46.1366,5.7
2011-05-01,2010/11,All wheat,May,52.62,46.883,2163.023,46.1366,5.7
2011-06-01,2011/12,All wheat,Jun,54.277,45.687,1993.111,43.6253,7.24
2011-07-01,2011/12,All wheat,Jul,54.277,45.687,1993.111,43.6253,7.24
2011-08-01,2011/12,All wheat,Aug,54.277,45.687,1993.111,43.6253,7.24
2011-09-01,2011/12,All wheat,Sep,54.277,45.687,1993.111,43.6253,7.24
2011-10-01,2011/12,All wheat,Oct,54.277,45.687,1993.111,43.6253,7.24
2011-11-01,2011/12,All wheat,Nov,54.277,45.687,1993.111,43.6253,7.24
2011-12-01,2011/12,All wheat,Dec,54.277,45.687,1993.111,43.6253,7.24
2012-01-01,2011/12,All wheat,Jan,54.277,45.687,1993.111,43.6253,7.24
2012-02-01,2011/12,All wheat,Feb,54.277,45.687,1993.111,43.6253,7.24
2012-03-01,2011/12,All wheat,Mar,54.277,45.687,1993.111,43.6253,7.24
2012-04-01,2011/12,All wheat,Apr,54.277,45.687,1993.111,43.6253,7.24
2012-05-01,2011/12,All wheat,May,54.277,45.687,1993.111,43.6253,7.24
2012-06-01,2012/13,All wheat,Jun,55.294,48.758,2252.307,46.1936,7.77
2012-07-01,2012/13,All wheat,Jul,55.294,48.758,2252.307,46.1936,7.77
2012-08-01,2012/13,All wheat,Aug,55.294,48.758,2252.307,46.1936,7.77
2012-09-01,2012/13,All wheat,Sep,55.294,48.758,2252.307,46.1936,7.77
2012-10-01,2012/13,All wheat,Oct,55.294,48.758,2252.307,46.1936,7.77
2012-11-01,2012/13,All wheat,Nov,55.294,48.758,2252.307,46.1936,7.77
2012-12-01,2012/13,All wheat,Dec,55.294,48.758,2252.307,46.1936,7.77
2013-01-01,2012/13,All wheat,Jan,55.294,48.758,2252.307,46.1936,7.77
2013-02-01,2012/13,All wheat,Feb,55.294,48.758,2252.307,46.1936,7.77
2013-03-01,2012/13,All wheat,Mar,55.294,48.758,2252.307,46.1936,7.77
2013-04-01,2012/13,All wheat,Apr,55.294,48.758,2252.307,46.1936,7.77
2013-05-01,2012/13,All wheat,May,55.294,48.758,2252.307,46.1936,7.77
2013-06-01,2013/14,All wheat,Jun,56.236,45.332,2134.979,47.0965,6.87
2013-07-01,2013/14,All wheat,Jul,56.236,45.332,2134.979,47.0965,6.87
2013-08-01,2013/14,All wheat,Aug,56.236,45.332,2134.979,47.0965,6.87
2013-09-01,2013/14,All wheat,Sep,56.236,45.332,2134.979,47.0965,6.87
2013-10-01,2013/14,All wheat,Oct,56.236,45.332,2134.979,47.0965,6.87
2013-11-01,2013/14,All wheat,Nov,56.236,45.332,2134.979,47.0965,6.87
2013-12-01,2013/14,All wheat,Dec,56.236,45.332,2134.979,47.0965,6.87
2014-01-01,2013/14,All wheat,Jan,56.236,45.332,2134.979,47.0965,6.87
2014-02-01,2013/14,All wheat,Feb,56.236,45.332,2134.979,47.0965,6.87
2014-03-01,2013/14,All wheat,Mar,56.236,45.332,2134.979,47.0965,6.87
2014-04-01,2013/14,All wheat,Apr,56.236,45.332,2134.979,47.0965,6.87
2014-05-01,2013/14,All wheat,May,56.236,45.332,2134.979,47.0965,6.87
2014-06-01,2014/15,All wheat,Jun,56.841,46.385,2026.31,43.6846,5.99
2014-07-01,2014/15,All wheat,Jul,56.841,46.385,2026.31,43.6846,5.99
2014-08-01,2014/15,All wheat,Aug,56.841,46.385,2026.31,43.6846,5.99
2014-09-01,2014/15,All wheat,Sep,56.841,46.385,2026.31,43.6846,5.99
2014-10-01,2014/15,All wheat,Oct,56.841,46.385,2026.31,43.6846,5.99
2014-11-01,2014/15,All wheat,Nov,56.841,46.385,2026.31,43.6846,5.99
2014-12-01,2014/15,All wheat,Dec,56.841,46.385,2026.31,43.6846,5.99
2015-01-01,2014/15,All wheat,Jan,56.841,46.385,2026.31,43.6846,5.99
2015-02-01,2014/15,All wheat,Feb,56.841,46.385,2026.31,43.6846,5.99
2015-03-01,2014/15,All wheat,Mar,56.841,46.385,2026.31,43.6846,5.99
2015-04-01,2014/15,All wheat,Apr,56.841,46.385,2026.31,43.6846,5.99
2015-05-01,2014/15,All wheat,May,56.841,46.385,2026.31,43.6846,5.99
2015-06-01,2015/16,All wheat,Jun,54.999,47.318,2061.939,43.5762,4.89
2015-07-01,2015/16,All wheat,Jul,54.999,47.318,2061.939,43.5762,4.89
2015-08-01,2015/16,All wheat,Aug,54.999,47.318,2061.939,43.5762,4.89
2015-09-01,2015/16,All wheat,Sep,54.999,47.318,2061.939,43.5762,4.89
2015-10-01,2015/16,All wheat,Oct,54.999,47.318,2061.939,43.5762,4.89
2015-11-01,2015/16,All wheat,Nov,54.999,47.318,2061.939,43.5762,4.89
2015-12-01,2015/16,All wheat,Dec,54.999,47.318,2061.939,43.5762,4.89
2016-01-01,2015/16,All wheat,Jan,54.999,47.318,2061.939,43.5762,4.89
2016-02-01,2015/16,All wheat,Feb,54.999,47.318,2061.939,43.5762,4.89
2016-03-01,2015/16,All wheat,Mar,54.999,47.318,2061.939,43.5762,4.89
